alpha,V0,kz,tier,k_mode,xi_sponge,target_tu,bp,cellmult,cost_a5000,stream,own_cost
4.0,0.2,7.0,int,7,8.0,100.0,14,1,87.0,abi0,177.86666666666665
4.5,0.2,7.0,int,7,8.0,100.0,14,1,87.0,abi0,177.86666666666665
5.0,0.2,7.0,int,7,8.0,100.0,14,1,87.0,abi0,177.86666666666665
5.5,0.2,7.0,int,7,8.0,100.0,14,1,87.0,abi0,177.86666666666665
6.0,0.2,7.0,int,7,8.0,100.0,14,1,87.0,abi0,177.86666666666665
0.4,0.08,4.0,int,4,9.0,265.2,14,1,230.724,abi0,471.70239999999995
0.5,0.1,9.0,int,9,8.0,284.6,14,1,247.60200000000003,abi0,506.2085333333334
0.3,0.08,3.0,int,3,12.0,306.2,14,1,266.394,abi0,544.6277333333333
0.4,0.08,6.0,int,6,8.0,324.8,14,1,282.576,abi0,577.7109333333333
0.5,0.07,9.0,int,9,8.0,340.2,14,1,295.974,abi0,605.1024
0.4,0.05,5.0,int,5,8.0,375.0,14,1,326.25,abi0,667.0
0.3,0.03,7.0,int,7,8.0,400.0,14,1,348.0,abi0,711.4666666666666
0.6,0.03,9.0,int,9,8.0,400.0,14,1,348.0,abi0,711.4666666666666
0.3,0.04,4.0,int,4,14.0,400.0,14,1,348.0,abi0,711.4666666666666
0.3,0.05,8.0,int,8,8.0,400.0,14,1,348.0,abi0,711.4666666666666
0.3,0.1,7.0,int,7,8.0,400.0,14,1,348.0,abi0,711.4666666666666
4.0,0.2,6.0,int,6,8.0,100.0,14,1,87.0,abi1,177.86666666666665
4.5,0.2,6.0,int,6,8.0,100.0,14,1,87.0,abi1,177.86666666666665
5.0,0.2,6.0,int,6,8.0,100.0,14,1,87.0,abi1,177.86666666666665
5.5,0.2,6.0,int,6,8.0,100.0,14,1,87.0,abi1,177.86666666666665
6.0,0.2,6.0,int,6,8.0,100.0,14,1,87.0,abi1,177.86666666666665
0.9,0.03,7.0,int,7,8.0,254.6,14,1,221.50199999999998,abi1,452.84853333333325
0.3,0.03,1.0,int,1,14.0,289.2,14,1,251.60399999999998,abi1,514.3903999999999
0.5,0.05,5.0,int,5,8.0,300.0,14,1,261.0,abi1,533.5999999999999
0.4,0.04,3.0,int,3,14.0,324.8,14,1,282.576,abi1,577.7109333333333
0.5,0.03,4.0,int,4,8.0,346.4,14,1,301.368,abi1,616.1301333333332
0.4,0.08,8.0,int,8,8.0,375.0,14,1,326.25,abi1,667.0
0.4,0.08,9.0,int,9,8.0,397.8,14,1,346.086,abi1,707.5536
0.3,0.03,9.0,int,9,11.0,400.0,14,1,348.0,abi1,711.4666666666666
0.6,0.03,8.0,int,8,8.0,400.0,14,1,348.0,abi1,711.4666666666666
0.3,0.04,3.0,int,3,14.0,400.0,14,1,348.0,abi1,711.4666666666666
0.4,0.05,7.0,int,7,8.0,400.0,14,1,348.0,abi1,711.4666666666666
4.0,0.2,5.0,int,5,8.0,100.0,14,1,87.0,abi2,177.86666666666665
4.5,0.2,5.0,int,5,8.0,100.0,14,1,87.0,abi2,177.86666666666665
5.0,0.2,5.0,int,5,8.0,100.0,14,1,87.0,abi2,177.86666666666665
5.5,0.2,5.0,int,5,8.0,100.0,14,1,87.0,abi2,177.86666666666665
6.0,0.2,5.0,int,5,8.0,100.0,14,1,87.0,abi2,177.86666666666665
0.8,0.05,9.0,int,9,8.0,251.6,14,1,218.892,abi2,447.5125333333333
0.6,0.07,9.0,int,9,8.0,283.5,14,1,246.645,abi2,504.252
0.6,0.04,6.0,int,6,8.0,306.2,14,1,266.394,abi2,544.6277333333333
0.8,0.03,9.0,int,9,8.0,324.8,14,1,282.576,abi2,577.7109333333333
0.4,0.07,6.0,int,6,8.0,347.2,14,1,302.06399999999996,abi2,617.5530666666665
0.6,0.04,9.0,int,9,8.0,375.0,14,1,326.25,abi2,667.0
0.5,0.04,7.0,int,7,9.0,396.9,14,1,345.303,abi2,705.9527999999999
0.4,0.03,4.0,int,4,8.0,400.0,14,1,348.0,abi2,711.4666666666666
0.5,0.03,9.0,int,9,9.0,400.0,14,1,348.0,abi2,711.4666666666666
0.5,0.04,9.0,int,9,8.0,400.0,14,1,348.0,abi2,711.4666666666666
0.4,0.05,9.0,int,9,8.0,400.0,14,1,348.0,abi2,711.4666666666666
4.0,0.2,1.0,int,1,8.0,100.0,14,1,87.0,t126,87.0
4.0,0.2,4.0,int,4,8.0,100.0,14,1,87.0,t126,87.0
4.5,0.2,1.0,int,1,8.0,100.0,14,1,87.0,t126,87.0
4.5,0.2,4.0,int,4,8.0,100.0,14,1,87.0,t126,87.0
5.0,0.2,1.0,int,1,8.0,100.0,14,1,87.0,t126,87.0
5.0,0.2,4.0,int,4,8.0,100.0,14,1,87.0,t126,87.0
5.5,0.2,1.0,int,1,8.0,100.0,14,1,87.0,t126,87.0
5.5,0.2,4.0,int,4,8.0,100.0,14,1,87.0,t126,87.0
6.0,0.2,1.0,int,1,8.0,100.0,14,1,87.0,t126,87.0
6.0,0.2,4.0,int,4,8.0,100.0,14,1,87.0,t126,87.0
0.5,0.08,7.0,int,7,8.0,280.6,14,1,244.122,t126,244.122
0.4,0.07,4.0,int,4,9.0,283.5,14,1,246.645,t126,246.645
0.4,0.08,5.0,int,5,8.0,296.5,14,1,257.955,t126,257.955
0.5,0.07,7.0,int,7,8.0,300.0,14,1,261.0,t126,261.0
0.8,0.03,8.0,int,8,8.0,306.2,14,1,266.394,t126,266.394
0.5,0.08,9.0,int,9,8.0,318.2,14,1,276.834,t126,276.834
0.5,0.05,6.0,int,6,8.0,328.6,14,1,285.882,t126,285.882
0.5,0.04,5.0,int,5,10.0,335.4,14,1,291.798,t126,291.798
0.6,0.04,8.0,int,8,8.0,353.6,14,1,307.632,t126,307.632
0.3,0.08,4.0,int,4,10.0,353.6,14,1,307.632,t126,307.632
0.4,0.04,4.0,int,4,12.0,375.0,14,1,326.25,t126,326.25
0.3,0.08,5.0,int,5,9.0,395.3,14,1,343.911,t126,343.911
0.3,0.03,2.0,int,2,14.0,400.0,14,1,348.0,t126,348.0
0.3,0.03,4.0,int,4,8.0,400.0,14,1,348.0,t126,348.0
0.4,0.03,5.0,int,5,8.0,400.0,14,1,348.0,t126,348.0
0.4,0.03,7.0,int,7,8.0,400.0,14,1,348.0,t126,348.0
0.4,0.04,5.0,int,5,11.0,400.0,14,1,348.0,t126,348.0
0.4,0.04,9.0,int,9,8.0,400.0,14,1,348.0,t126,348.0
0.5,0.05,9.0,int,9,8.0,400.0,14,1,348.0,t126,348.0
0.3,0.07,7.0,int,7,8.0,400.0,14,1,348.0,t126,348.0
0.3,0.07,8.0,int,8,8.0,400.0,14,1,348.0,t126,348.0
0.3,0.1,8.0,int,8,8.0,400.0,14,1,348.0,t126,348.0
3.5,0.2,2.0,int,2,8.0,100.0,14,1,87.0,t133,87.0
4.0,0.2,3.0,int,3,8.0,100.0,14,1,87.0,t133,87.0
4.0,0.2,9.0,int,9,8.0,100.0,14,1,87.0,t133,87.0
4.5,0.2,3.0,int,3,8.0,100.0,14,1,87.0,t133,87.0
4.5,0.2,9.0,int,9,8.0,100.0,14,1,87.0,t133,87.0
5.0,0.2,3.0,int,3,8.0,100.0,14,1,87.0,t133,87.0
5.0,0.2,9.0,int,9,8.0,100.0,14,1,87.0,t133,87.0
5.5,0.2,3.0,int,3,8.0,100.0,14,1,87.0,t133,87.0
5.5,0.2,9.0,int,9,8.0,100.0,14,1,87.0,t133,87.0
6.0,0.2,3.0,int,3,8.0,100.0,14,1,87.0,t133,87.0
6.0,0.2,9.0,int,9,8.0,100.0,14,1,87.0,t133,87.0
0.5,0.07,6.0,int,6,8.0,277.8,14,1,241.686,t133,241.686
0.8,0.04,9.0,int,9,8.0,281.3,14,1,244.731,t133,244.731
0.4,0.1,6.0,int,6,8.0,290.5,14,1,252.73499999999999,t133,252.73499999999999
0.5,0.04,4.0,int,4,11.0,300.0,14,1,261.0,t133,261.0
0.3,0.1,4.0,int,4,9.0,316.3,14,1,275.181,t133,275.181
0.4,0.07,5.0,int,5,9.0,317.0,14,1,275.79,t133,275.79
0.3,0.07,3.0,int,3,12.0,327.4,14,1,284.83799999999997,t133,284.83799999999997
0.6,0.04,7.0,int,7,8.0,330.7,14,1,287.709,t133,287.709
0.7,0.03,8.0,int,8,8.0,349.9,14,1,304.41299999999995,t133,304.41299999999995
0.7,0.03,9.0,int,9,8.0,371.2,14,1,322.944,t133,322.944
0.4,0.03,3.0,int,3,14.0,375.0,14,1,326.25,t133,326.25
0.3,0.1,6.0,int,6,8.0,387.3,14,1,336.951,t133,336.951
0.3,0.03,3.0,int,3,8.0,400.0,14,1,348.0,t133,348.0
0.3,0.03,5.0,int,5,8.0,400.0,14,1,348.0,t133,348.0
0.5,0.03,6.0,int,6,8.0,400.0,14,1,348.0,t133,348.0
0.5,0.03,7.0,int,7,8.0,400.0,14,1,348.0,t133,348.0
0.3,0.04,6.0,int,6,12.0,400.0,14,1,348.0,t133,348.0
0.4,0.04,7.0,int,7,9.0,400.0,14,1,348.0,t133,348.0
0.4,0.05,8.0,int,8,8.0,400.0,14,1,348.0,t133,348.0
0.3,0.07,6.0,int,6,9.0,400.0,14,1,348.0,t133,348.0
0.3,0.07,9.0,int,9,8.0,400.0,14,1,348.0,t133,348.0
0.3,0.08,9.0,int,9,8.0,400.0,14,1,348.0,t133,348.0
3.5,0.2,1.0,int,1,8.0,100.0,14,1,87.0,t140,87.0
4.0,0.2,2.0,int,2,8.0,100.0,14,1,87.0,t140,87.0
4.0,0.2,8.0,int,8,8.0,100.0,14,1,87.0,t140,87.0
4.5,0.2,2.0,int,2,8.0,100.0,14,1,87.0,t140,87.0
4.5,0.2,8.0,int,8,8.0,100.0,14,1,87.0,t140,87.0
5.0,0.2,2.0,int,2,8.0,100.0,14,1,87.0,t140,87.0
5.0,0.2,8.0,int,8,8.0,100.0,14,1,87.0,t140,87.0
5.5,0.2,2.0,int,2,8.0,100.0,14,1,87.0,t140,87.0
5.5,0.2,8.0,int,8,8.0,100.0,14,1,87.0,t140,87.0
6.0,0.2,2.0,int,2,8.0,100.0,14,1,87.0,t140,87.0
6.0,0.2,8.0,int,8,8.0,100.0,14,1,87.0,t140,87.0
0.3,0.07,2.0,int,2,14.0,267.4,14,1,232.63799999999998,t140,232.63799999999998
0.7,0.04,7.0,int,7,8.0,283.5,14,1,246.645,t140,246.645
0.4,0.05,3.0,int,3,8.0,290.5,14,1,252.73499999999999,t140,252.73499999999999
0.5,0.08,8.0,int,8,8.0,300.0,14,1,261.0,t140,261.0
0.4,0.1,7.0,int,7,8.0,313.8,14,1,273.00600000000003,t140,273.00600000000003
0.3,0.05,2.0,int,2,8.0,316.4,14,1,275.268,t140,275.268
0.7,0.03,7.0,int,7,8.0,327.3,14,1,284.75100000000003,t140,284.75100000000003
0.4,0.05,4.0,int,4,8.0,335.4,14,1,291.798,t140,291.798
0.4,0.08,7.0,int,7,8.0,350.8,14,1,305.196,t140,305.196
0.5,0.04,6.0,int,6,9.0,367.4,14,1,319.638,t140,319.638
0.4,0.07,7.0,int,7,8.0,375.0,14,1,326.25,t140,326.25
0.5,0.03,5.0,int,5,8.0,387.3,14,1,336.951,t140,336.951
0.3,0.03,6.0,int,6,8.0,400.0,14,1,348.0,t140,348.0
0.4,0.03,6.0,int,6,8.0,400.0,14,1,348.0,t140,348.0
0.5,0.03,8.0,int,8,8.0,400.0,14,1,348.0,t140,348.0
0.3,0.04,5.0,int,5,13.0,400.0,14,1,348.0,t140,348.0
0.3,0.04,7.0,int,7,11.0,400.0,14,1,348.0,t140,348.0
0.3,0.05,7.0,int,7,8.0,400.0,14,1,348.0,t140,348.0
0.3,0.05,9.0,int,9,9.0,400.0,14,1,348.0,t140,348.0
0.3,0.07,5.0,int,5,10.0,400.0,14,1,348.0,t140,348.0
0.4,0.07,9.0,int,9,8.0,400.0,14,1,348.0,t140,348.0
0.3,0.08,7.0,int,7,8.0,400.0,14,1,348.0,t140,348.0
