alpha,V0,kz,sp,tier,group,stream,status,gamma_sim,r2,t0,t1,gamma_eig,note,ratio,rel_err
0.5,0.1,1.0,30.0,int,magnitude_check,abi0,OK,0.20641,0.9538,5.99,45.95,0.26448,ok,0.7804370840895343,0.21956291591046576
1.5,0.05,1.0,20.0,int,magnitude_check,abi0,OK,0.09579,0.9507,10.99,47.95,0.09013,ok,1.06279818040608,0.06279818040608008
2.0,0.08,2.0,19.0,int,magnitude_check,abi0,OK,0.60936,0.9681,8.99,18.98,0.81476,ok,0.7479012224458736,0.2520987775541264
1.0,0.05,1.5,45.0,half,magnitude_check,abi0,OK,0.72505,0.9616,12.99,28.97,0.91782,ok,0.7899697108365474,0.21003028916345254
1.5,0.08,2.5,31.0,half,magnitude_check,abi0,OK,1.28567,0.965,8.99,16.98,1.57697,ok,0.8152786673177043,0.18472133268229574
0.5,0.05,0.5,29.0,half,profile_cascade,abi0,OK,0.04457,0.953,39.96,59.94,0.04605,ok,0.9678610206297502,0.03213897937024977
0.5,0.08,1.0,38.0,int,magnitude_check,abi1,OK,0.32266,0.9541,8.99,45.95,0.4289,ok,0.7522965726276521,0.24770342737234788
1.5,0.08,2.0,25.0,int,magnitude_check,abi1,OK,0.79337,0.9663,8.99,20.98,0.99099,ok,0.8005832551287096,0.19941674487129032
2.0,0.08,3.0,28.0,int,magnitude_check,abi1,OK,1.63011,0.9636,7.99,13.98,1.98151,ok,0.8226604962881842,0.1773395037118158
1.0,0.1,2.5,38.0,half,magnitude_check,abi1,OK,1.55921,0.9778,9.99,15.98,1.84516,ok,0.8450269895293634,0.15497301047063666
1.5,0.08,1.5,19.0,half,magnitude_check,abi1,OK,0.26605,0.957,7.99,26.97,0.38875,ok,0.6843729903536978,0.3156270096463022
1.0,0.05,1.5,38.0,half,profile_cascade,abi1,OK,0.08764,0.9526,9.99,37.96,0.167,ok,0.5247904191616766,0.47520958083832343
1.0,0.05,1.0,30.0,int,magnitude_check,abi2,OK,0.19862,0.9553,11.99,46.95,0.26287,ok,0.7555826073724654,0.24441739262753454
1.0,0.08,2.5,47.0,half,magnitude_check,abi2,OK,1.44819,0.9527,10.99,16.98,1.91292,ok,0.7570572736967569,0.24294272630324315
1.5,0.05,1.5,30.0,half,magnitude_check,abi2,OK,0.52561,0.9576,10.99,29.97,0.68488,ok,0.7674483121130709,0.23255168788692912
0.5,0.05,0.5,35.0,half,profile_cascade,abi2,OK,0.14269,0.9501,18.98,59.94,0.17722,ok,0.8051574314411467,0.1948425685588533
1.0,0.08,1.0,19.0,int,magnitude_check,t126,OK,0.11555,0.9546,6.99,45.95,0.10686,ok,1.0813213550439829,0.08132135504398282
1.0,0.08,2.0,38.0,int,magnitude_check,t126,OK,1.04488,0.9567,9.99,19.98,1.35533,ok,0.7709413943467643,0.2290586056532357
1.5,0.03,1.0,33.0,int,magnitude_check,t126,OK,0.21299,0.9573,16.98,48.95,0.29265,ok,0.7277977105757731,0.2722022894242269
2.0,0.03,1.0,25.0,int,magnitude_check,t126,OK,0.11527,0.9543,15.98,47.95,0.15418,ok,0.7476326371773251,0.25236736282267486
0.3,0.08,0.5,31.0,half,magnitude_check,t126,OK,0.06411,0.954,25.97,59.94,0.05556,ok,1.1538876889848813,0.15388768898488125
0.5,0.08,0.5,19.0,half,magnitude_check,t126,OK,0.04643,0.9526,30.97,59.94,0.05045,ok,0.9203171456888007,0.07968285431119926
1.0,0.08,1.5,28.0,half,magnitude_check,t126,OK,0.46148,0.9532,8.99,28.97,0.62122,ok,0.7428608222529861,0.25713917774701395
2.0,0.05,1.5,22.0,half,magnitude_check,t126,OK,0.2262,0.9539,10.99,29.97,0.36867,ok,0.6135568394499146,0.38644316055008543
0.5,0.05,0.5,42.0,half,profile_cascade,t126,OK,0.33195,0.9503,12.99,48.95,0.43632,ok,0.7607948294829484,0.23920517051705162
1.0,0.05,1.5,33.0,half,profile_cascade,t126,OK,0.08605,0.9517,7.99,42.95,0.11228,ok,0.7663876024225151,0.2336123975774849
1.0,0.05,1.5,49.0,half,profile_cascade,t126,OK,0.92829,0.9502,11.99,22.98,1.23892,ok,0.7492735608433151,0.2507264391566849
1.5,0.1,2.0,20.0,int,magnitude_check,t133,OK,0.58728,0.9613,7.99,19.98,0.79732,ok,0.7365675011287814,0.26343249887121856
2.0,0.05,2.0,30.0,int,magnitude_check,t133,OK,0.90594,0.962,9.99,21.98,1.1322,ok,0.8001589825119236,0.1998410174880764
0.3,0.1,0.5,25.0,half,magnitude_check,t133,OK,0.06001,0.9537,21.98,59.94,0.05974,ok,1.0045195848677604,0.004519584867760285
1.0,0.03,0.5,25.0,half,magnitude_check,t133,OK,0.00203,0.9553,25.97,44.95,0.03303,ok,0.06145927944293068,0.9385407205570693
1.0,0.1,1.5,22.0,half,magnitude_check,t133,OK,0.25102,0.9605,6.99,28.97,0.37043,ok,0.6776448991712335,0.3223551008287665
2.0,0.03,1.5,38.0,half,magnitude_check,t133,OK,0.69998,0.964,12.99,29.97,0.88039,ok,0.7950794534240507,0.20492054657594924
2.0,0.1,2.5,19.0,half,magnitude_check,t133,OK,0.95021,0.9542,6.99,14.98,1.2636,ok,0.7519863880974992,0.24801361190250082
0.5,0.05,0.5,50.0,half,profile_cascade,t133,OK,0.53505,0.9565,13.98,33.96,0.69343,ok,0.771599152041302,0.22840084795869803
1.0,0.05,1.5,44.0,half,profile_cascade,t133,OK,0.64382,0.9571,12.99,30.97,0.83029,ok,0.7754158185694154,0.22458418143058453
1.0,0.1,2.0,30.0,int,magnitude_check,t140,OK,0.91676,0.9673,8.99,20.98,1.13216,ok,0.8097442057659695,0.19025579423403055
1.5,0.05,2.0,40.0,int,magnitude_check,t140,OK,1.03902,0.9571,10.99,21.98,1.32496,ok,0.7841897113875137,0.21581028861248633
1.5,0.1,3.0,30.0,int,magnitude_check,t140,OK,1.71288,0.9657,7.99,13.98,2.07119,ok,0.8270028341195158,0.17299716588048422
0.5,0.05,0.5,30.0,half,magnitude_check,t140,OK,0.04823,0.9542,35.96,59.94,0.0433,ok,1.1138568129330255,0.11385681293302549
0.5,0.1,1.5,45.0,half,magnitude_check,t140,OK,0.68565,0.9528,10.99,26.97,0.91778,ok,0.7470744622894375,0.2529255377105625
1.5,0.1,2.5,25.0,half,magnitude_check,t140,OK,1.17369,0.9661,7.99,15.98,1.44367,ok,0.8129905033698837,0.18700949663011637
2.0,0.05,2.5,38.0,half,magnitude_check,t140,OK,1.46324,0.9594,9.99,16.98,1.84517,ok,0.7930109420812175,0.2069890579187825
2.0,0.08,2.5,23.0,half,magnitude_check,t140,OK,1.02589,0.9705,8.99,15.98,1.25837,ok,0.8152530654735888,0.18474693452641117
0.5,0.05,0.5,24.0,half,profile_cascade,t140,OK,0.04442,0.9552,35.96,59.94,0.05165,ok,0.8600193610842207,0.13998063891577928
1.0,0.05,1.5,53.0,half,profile_cascade,t140,OK,1.16567,0.9567,11.99,19.98,1.53081,ok,0.7614726843958427,0.2385273156041573
